"year","median_male","median_female","pay_gap"
"1997",8.29,5.97,27.98552472858866
"1998",8.64,6.19,28.356481481481477
"1999",8.95,6.47,27.709497206703904
"2000",9.25,6.69,27.67567567567567
"2001",9.63,7.02,27.10280373831777
"2002",10.05,7.29,27.462686567164184
"2003",10.35,7.68,25.79710144927536
"2004",10.66,7.97,25.234521575984992
"2005",10.91,8.35,23.4647112740605
"2006",11.26,8.68,22.912966252220247
"2007",11.58,8.98,22.45250431778929
"2008",12.08,9.3,23.01324503311257
"2009",12.49,9.68,22.497998398718977
"2010",12.47,9.9,20.609462710505213
"2011",12.5,9.91,20.719999999999995
"2012",12.6,10.06,20.158730158730155
"2013",12.96,10.32,20.370370370370374
"2014",12.93,10.37,19.798917246713078
"2015",13.12,10.5,19.96951219512194
"2016",13.45,10.93,18.7360594795539
"2017",13.81,11.2,18.89934829833455
