year,temperature
1880,-0.177
1881,-0.088
1882,-0.098
1883,-0.182
1884,-0.285
1885,-0.307
1886,-0.314
1887,-0.343
1888,-0.174
1889,-0.102
1890,-0.362
1891,-0.227
1892,-0.255
1893,-0.306
1894,-0.303
1895,-0.218
1896,-0.107
1897,-0.107
1898,-0.273
1899,-0.176
1900,-0.084
1901,-0.146
1902,-0.294
1903,-0.385
1904,-0.485
1905,-0.279
1906,-0.215
1907,-0.387
1908,-0.427
1909,-0.465
1910,-0.423
1911,-0.424
1912,-0.348
1913,-0.346
1914,-0.148
1915,-0.114
1916,-0.322
1917,-0.431
1918,-0.275
1919,-0.260
1920,-0.249
1921,-0.167
1922,-0.264
1923,-0.237
1924,-0.248
1925,-0.198
1926,-0.083
1927,-0.196
1928,-0.185
1929,-0.338
1930,-0.138
1931,-0.099
1932,-0.161
1933,-0.293
1934,-0.133
1935,-0.202
1936,-0.158
1937,-0.038
1938,-0.030
1939,-0.028
1940,0.117
1941,0.181
1942,0.053
1943,0.071
1944,0.206
1945,0.086
1946,-0.073
1947,-0.041
1948,-0.110
1949,-0.112
1950,-0.183
1951,-0.067
1952,0.004
1953,0.068
1954,-0.149
1955,-0.148
1956,-0.206
1957,0.041
1958,0.067
1959,0.024
1960,-0.022
1961,0.055
1962,0.038
1963,0.070
1964,-0.196
1965,-0.102
1966,-0.047
1967,-0.020
1968,-0.073
1969,0.069
1970,0.032
1971,-0.090
1972,0.014
1973,0.163
1974,-0.082
1975,-0.014
1976,-0.104
1977,0.174
1978,0.068
1979,0.164
1980,0.275
1981,0.332
1982,0.138
1983,0.315
1984,0.166
1985,0.122
1986,0.188
1987,0.337
1988,0.412
1989,0.295
1990,0.444
1991,0.417
1992,0.226
1993,0.245
1994,0.316
1995,0.452
1996,0.341
1997,0.473
1998,0.627
1999,0.406
2000,0.410
2001,0.541
2002,0.630
2003,0.613
2004,0.542
2005,0.677
2006,0.627
2007,0.643
2008,0.522
2009,0.642
2010,0.706
2011,0.588
2012,0.621
2013,0.651
2014,0.737
2015,0.872
2016,0.998
2017,0.908
2018,0.833
